ciudad;ingpc;empleo;desempleo
10150;568;;
10150;568;1;
10150;568;;
10150;568;;
10150;246.6666667;1;
10150;246.6666667;1;
10150;246.6666667;1;
10150;246.6666667;;
10150;246.6666667;;
10150;246.6666667;;
10150;728;1;
10150;728;1;
10150;728;1;
10150;728;;
10150;1044;1;
10150;800;;
10150;800;;
10150;835;1;
10150;835;1;
10150;227.5;;
10150;227.5;1;
10150;227.5;1;
10150;227.5;;1
10150;394;;
10150;394;1;
10150;394;;
10150;394;1;
10150;1200;;
10150;366.6666667;1;
10150;366.6666667;1;
10150;366.6666667;;1
10150;626;1;
10150;626;1;
10150;626;1;
10150;626;1;
10150;626;1;
10150;626;;
10150;392.6666667;1;
10150;392.6666667;1;
10150;392.6666667;1;
10150;392.6666667;1;
10150;392.6666667;;
10150;392.6666667;;
10150;66.8;1;
10150;66.8;1;
10150;66.8;;
10150;66.8;;
10150;66.8;;
10150;853;1;
10150;853;;
10150;583.3333333;1;
10150;583.3333333;;
10150;583.3333333;;
10150;850;1;
10150;850;1;
10150;850;1;
10150;850;;
10150;1314;1;
10150;367.5;1;
10150;367.5;1;
10150;367.5;;
10150;367.5;1;
10150;270.3333333;1;
10150;270.3333333;;
10150;270.3333333;;
10150;1100;;
10150;345;1;
10150;345;1;
10150;345;1;
10150;345;1;
10150;368.8571429;1;
10150;368.8571429;1;
10150;368.8571429;1;
10150;368.8571429;;
10150;368.8571429;;
10150;368.8571429;;
10150;368.8571429;;
10150;430;1;
10150;430;;
10150;405;1;
10150;405;;
10150;350;1;
10150;350;;
10150;223;1;
10150;223;1;
10150;223;;
10150;223;;
10150;223;;
10150;272;1;
10150;272;1;
10150;272;;
10150;272;;
10150;272;;
10150;890;;
10150;890;;
10150;390.3333333;1;
10150;390.3333333;1;
10150;390.3333333;;
10150;138.75;1;
10150;138.75;1;
10150;138.75;1;
10150;138.75;;
10150;650;1;
10150;358.3333333;1;
10150;358.3333333;;
10150;358.3333333;1;
10150;900;1;
10150;236;;
10150;236;;
10150;236;1;
10150;236;1;
10150;236;;
10150;345.25;;
10150;345.25;1;
10150;345.25;;1
10150;345.25;;
10150;1000;;
10150;225;1;
10150;225;;
10150;225;1;
10150;225;1;
10150;1330;;
10150;3000;;
10150;166.6666667;1;
10150;166.6666667;;
10150;166.6666667;;
10150;384.8;1;
10150;384.8;1;
10150;384.8;1;
10150;384.8;;
10150;384.8;;
10150;1185;;
10150;1185;1;
10150;2200;;
10150;531.6666667;1;
10150;531.6666667;;
10150;531.6666667;;
10150;920;1;
10150;487;1;
10150;487;1;
10150;487;1;
10150;487;1;
10150;487;1;
10150;487;1;
10150;1580;1;
10150;301;1;
10150;1175;;
10150;1175;;
10150;1393;1;
10150;1393;1;
10150;1393;;
10150;1393;1;
10150;675;;
10150;675;;
10150;399.25;1;
10150;399.25;1;
10150;399.25;;
10150;399.25;;
10150;460;1;
10150;460;1;
10150;460;;
10150;460;;
10150;460;;
10150;453.75;1;
10150;453.75;1;
10150;453.75;;
10150;453.75;;
10150;480;1;
10150;135;;
10150;135;1;
10150;348;1;
10150;348;1;
10150;348;;
10150;1337.5;1;
10150;1337.5;1;
10150;235;1;
10150;235;;
10150;461.75;1;
10150;461.75;;
10150;461.75;;
10150;461.75;1;
10150;167;1;
10150;167;;
10150;167;;
10150;775;1;
10150;775;1;
10150;775;;
10150;775;;
10150;583.3333333;1;
10150;583.3333333;1;
10150;583.3333333;;
10150;146;;
10150;146;1;
10150;146;;
10150;146;;
10150;341.25;1;
10150;341.25;;
10150;341.25;;
10150;341.25;;
10150;300;;
10150;1218.75;1;
10150;1218.75;1;
10150;1218.75;;
10150;1218.75;;
10150;456.5;;
10150;456.5;;
10150;600;;
10150;600;;
10150;600;;
10150;600;;
10150;58.88888889;1;
10150;58.88888889;1;
10150;58.88888889;1;
10150;58.88888889;1;
10150;58.88888889;;
10150;58.88888889;;
10150;58.88888889;;1
10150;58.88888889;;
10150;58.88888889;;1
10150;450;1;
10150;450;1;
10150;2795;1;
10150;170.6666667;1;
10150;170.6666667;;
10150;170.6666667;;
10150;170.6666667;;
10150;170.6666667;;
10150;170.6666667;;
10150;75;;
10150;75;;
10150;272.2;1;
10150;272.2;;
10150;272.2;;
10150;272.2;;
10150;272.2;;
10150;102.8;;
10150;102.8;;
10150;102.8;1;
10150;102.8;;
10150;102.8;;
10150;175.2;1;
10150;175.2;1;
10150;175.2;;
10150;175.2;;
10150;175.2;;
10150;991;;
10150;991;1;
10150;143.3333333;1;
10150;143.3333333;;
10150;143.3333333;1;
10150;1050;1;
10150;167.5;1;
10150;167.5;1;
10150;167.5;;
10150;167.5;;
10150;167.5;;
10150;167.5;;
10150;300;;
10150;300;;
10150;840;1;
10150;110.1428571;1;
10150;110.1428571;1;
10150;110.1428571;1;
10150;110.1428571;;
10150;110.1428571;;
10150;110.1428571;;
10150;110.1428571;;
10150;227;1;
10150;227;1;
10150;227;;
10150;227;;
10150;150;;
10150;194;1;
10150;150;1;
10150;150;1;
10150;150;1;
10150;150;1;
10150;150;1;
10150;111.6666667;1;
10150;111.6666667;;
10150;111.6666667;;
10150;193.75;1;
10150;193.75;1;
10150;193.75;;
10150;193.75;;
10150;532;1;
10150;532;1;
10150;123.75;1;
10150;123.75;1;
10150;123.75;1;
10150;123.75;;
10150;450;;
10150;450;;
10150;425;;
10150;425;;
10150;1100;;
10150;450;;
10150;240;;
10150;240;;
10150;505.2;1;
10150;505.2;1;
10150;505.2;1;
10150;505.2;;
10150;505.2;;
10150;376.6666667;;
10150;376.6666667;1;
10150;376.6666667;1;
10150;826;1;
10150;826;;
10150;327.6666667;1;
10150;327.6666667;1;
10150;327.6666667;;
10150;328.25;1;
10150;328.25;;
10150;328.25;;
10150;328.25;;
10150;580;;
10150;580;;
10150;250;1;
10150;250;;1
10150;651.8;1;
10150;651.8;1;
10150;651.8;1;
10150;651.8;1;
10150;651.8;;
10150;828.75;;
10150;828.75;;
10150;828.75;1;
10150;828.75;;
10150;651;1;
10150;436;1;
10150;436;;
10150;436;;
10150;436;;
10150;436;1;
10150;285.6666667;1;
10150;285.6666667;1;
10150;285.6666667;;
10150;316.6666667;1;
10150;316.6666667;1;
10150;316.6666667;;
10150;306;1;
10150;306;;
10150;306;;
10150;306;;
10150;250;;
10150;250;;
10150;316.5;1;
10150;316.5;1;
10150;229;1;
10150;229;;
10150;747.5;1;
10150;747.5;1;
10150;747.5;;
10150;747.5;;
10150;285;;1
10150;285;;
10150;541;1;
10150;541;1;
10150;515;1;
10150;515;1;
10150;233.3333333;1;
10150;233.3333333;;
10150;233.3333333;;
10150;1045;1;
10150;1045;1;
10150;1045;;
10150;202;1;
10150;202;1;
10150;202;;
10150;202;;
10150;202;;
10150;867.5;1;
10150;867.5;1;
10150;867.5;1;
10150;867.5;;
10150;260;1;
10150;850;;
10150;730;1;
10150;730;1;
10150;600;1;
10150;118.3333333;1;
10150;118.3333333;;
10150;118.3333333;;
10150;;;
10150;;;
10150;404;1;
10150;404;1;
10150;404;;
10150;150;;
10150;150;1;
10150;150;1;
10150;101.3333333;1;
